"","x"
"1","Agriculture"
"2","Algal blooms"
"3","B-IBI"
"4","Bacteria"
"5","Chinook spawners"
"6","Cultural wellbeing"
"7","Dissolved oxygen"
"8","Economic vitality"
"9","Edible shellfish"
"10","Eelgrass"
"11","English sole"
"12","Env. health disparity"
"13","Equity or Env. Justice?"
"14","Floodplains"
"15","Forestry"
"16","Green space"
"17","Herring"
"18","Juvenile Chinook"
"19","Low Flows"
"20","Nutrients"
"21","Orcas (SRKW)"
"22","Phytoplankton"
"23","Pinnipeds"
"24","Residence time"
"25","Riparin habitat"
"26","Rural development"
"27","Stormwater runoff"
"28","Stratification"
"29","Temperature"
"30","Toxics"
"31","Transportation corridors"
"32","Urban development"
"33","Wastewater"
"34","Zooplankton"
