"","From","To","Group","Type","Pair"
"1","Stratification","Dissolved oxygen",0,"N",1
"2","New development","Floodplains",0,"N",2
"3","Floodplains","Summer flows",0,"P",3
"4","Urban runoff","Wastewater",0,"P",4
"5","Floodplains","Temperature",0,"N",5
"6","Urban runoff","Temperature",0,"P",6
"7","New development","Agriculture",0,"N",7
"8","New development","Transportation corridors",0,"P",8
"9","New development","Rural runoff",0,"P",9
"10","Urban runoff","Toxics",0,"P",10
"11","Wastewater","Nutrients",0,"P",11
"12","Temperature","Stratification",0,"P",12
"13","B-IBI","Juv. Chinook (freshwater)",0,"P",13
"14","Floodplains","B-IBI",0,"P",14
"15","Temperature","Juv. Chinook (estuarine)",0,"N",15
"16","Bacteria","Juv. Chinook (freshwater)",0,"N",16
"17","Toxics","Juv. Chinook (freshwater)",0,"N",17
"18","Floodplains","Juv. Chinook (freshwater)",0,"P",18
"19","Summer flows","Juv. Chinook (freshwater)",0,"P",19
"20","Nutrients","Algal blooms",0,"P",20
"21","Summer flows","Stratification",0,"N",21
"22","Edible shellfish","Sense of place",0,"P",22
"23","Herring","Juv. Chinook (estuarine)",0,"P",23
"24","Chinook spawners","Orcas",0,"P",24
"25","Juv. Chinook (estuarine)","Pinnipeds",0,"P",25
"26","Zooplankton","Juv. Chinook (estuarine)",0,"P",26
"27","Herring","Pinnipeds",0,"P",27
"28","Zooplankton","Herring",0,"P",28
"29","Phytoplankton","Zooplankton",0,"P",29
"30","Algal blooms","Edible shellfish",0,"N",30
"31","Temperature","Eelgrass",0,"N",31
"32","Eelgrass","Sense of place",0,"P",32
"33","Herring","Sense of place",0,"P",33
"34","Orcas","Sense of place",0,"P",34
"35","Chinook spawners","Sense of place",0,"P",35
"36","Edible shellfish","Economic vitality",0,"P",36
"37","Nutrients","Phytoplankton",0,"P",37
"38","Bacteria","Edible shellfish",0,"N",38
"39","Toxics","Orcas",0,"N",39
"40","Toxics","Herring",0,"N",40
"41","Temperature","Phytoplankton",0,"P",41
"42","Dissolved oxygen","Zooplankton",0,"P",42
"43","Agriculture","Economic vitality",0,"P",43
"44","Chinook spawners","Economic vitality",0,"P",44
"45","Orcas","Economic vitality",0,"P",45
"46","Agriculture","Sense of place",0,"P",46
"47","Temperature","B-IBI",0,"N",47
"48","Greening","Summer flows",0,"P",48
"49","Eelgrass","Dissolved oxygen",0,"P",49
"50","Stratification","Algal blooms",0,"P",50
"51","Toxics","Human health",0,"N",51
"52","Greening","Human health",0,"P",52
"53","Greening","Urban runoff",0,"N",53
"54","Toxics","Edible shellfish",0,"N",54
"55","Greening","Temperature",0,"N",55
"56","Temperature","Dissolved oxygen",0,"N",56
"57","Temperature","Algal blooms",0,"P",57
"58","Eelgrass","Juv. Chinook (estuarine)",0,"P",58
"59","New development","Riparian habitat",0,"N",59
"60","Riparian habitat","Temperature",0,"N",60
"61","Agriculture","Riparian habitat",0,"N",61
"62","Edible shellfish","Human health",0,"P",62
"63","Algal blooms","Economic vitality",0,"N",63
"64","Algal blooms","Human health",0,"N",64
"65","Algal blooms","Sense of place",0,"N",65
"66","New development","Sense of place",0,"N",66
"67","Transportation corridors","Sense of place",0,"N",67
"68","Redevelopment","Sense of place",0,"N",68
"69","Economic vitality","Human health",0,"P",69
"70","Bacteria","Human health",0,"N",70
"71","Sense of place","Human health",0,"P",71
"72","Redevelopment","Urban runoff",0,"N",72
"73","Transportation corridors","Human health",0,"N",73
"74","Nutrients","B-IBI",0,"N",74
"75","Toxics","B-IBI",0,"N",75
"76","Rural runoff","Bacteria",0,"P",76
"77","Riparian habitat","B-IBI",0,"P",77
"78","Toxics","Pinnipeds",0,"N",78
"79","Transportation corridors","Urban runoff",0,"P",79
"80","Rural runoff","Nutrients",0,"P",80
"81","Wastewater","Bacteria",0,"P",81
"82","Urban runoff","Human health",0,"N",82
"83","Floodplains","Rural runoff",0,"N",83
"84","Agriculture","Summer flows",0,"N",84
"85","Agriculture","Rural runoff",0,"P",85
"86","Wastewater","Toxics",0,"P",86
"87","Summer flows","B-IBI",0,"P",87
"88","Septics","Bacteria",0,"P",88
"89","New development","Septics",0,"P",89
"90","Septics","Nutrients",0,"P",90
"91","Chinook spawners","Juv. Chinook (freshwater)",0,"P",91
"92","Juv. Chinook (estuarine)","Chinook spawners",0,"P",92
"93","Juv. Chinook (freshwater)","Juv. Chinook (estuarine)",0,"P",93
"94","Phytoplankton","Eelgrass",0,"N",94
"95","Algal blooms","Dissolved oxygen",0,"N",95
"96","Summer flows","Riparian habitat",0,"P",96
"97","Riparian habitat","Rural runoff",0,"N",97
"98","Temperature","Juv. Chinook (freshwater)",0,"N",98
"99","Toxics","Eelgrass",0,"N",99
"100","Phytoplankton","Dissolved oxygen",0,"P",100
"101","Redevelopment","Wastewater",0,"P",101
"104","Summer flows","Floodplains",0,"P",3
"109","Transportation corridors","New development",0,"P",8
"124","Juv. Chinook (estuarine)","Herring",0,"N",23
"125","Orcas","Chinook spawners",0,"N",24
"126","Pinnipeds","Juv. Chinook (estuarine)",0,"N",25
"127","Juv. Chinook (estuarine)","Zooplankton",0,"N",26
"128","Pinnipeds","Herring",0,"N",27
"129","Herring","Zooplankton",0,"N",28
"130","Zooplankton","Phytoplankton",0,"N",29
"110","Agriculture","Agriculture",0,"N",102
"210","Algal blooms","Algal blooms",0,"N",103
"310","B-IBI","B-IBI",0,"N",104
"410","Bacteria","Bacteria",0,"N",105
"510","Chinook spawners","Chinook spawners",0,"N",106
"610","Dissolved oxygen","Dissolved oxygen",0,"N",107
"710","Economic vitality","Economic vitality",0,"N",108
"810","Edible shellfish","Edible shellfish",0,"N",109
"910","Eelgrass","Eelgrass",0,"N",110
"102","Floodplains","Floodplains",0,"N",111
"111","Greening","Greening",0,"N",112
"121","Herring","Herring",0,"N",113
"131","Human health","Human health",0,"N",114
"141","Juv. Chinook (estuarine)","Juv. Chinook (estuarine)",0,"N",115
"151","Juv. Chinook (freshwater)","Juv. Chinook (freshwater)",0,"N",116
"161","New development","New development",0,"N",117
"171","Nutrients","Nutrients",0,"N",118
"181","Orcas","Orcas",0,"N",119
"191","Phytoplankton","Phytoplankton",0,"N",120
"201","Pinnipeds","Pinnipeds",0,"N",121
"211","Redevelopment","Redevelopment",0,"N",122
"221","Riparian habitat","Riparian habitat",0,"N",123
"231","Rural runoff","Rural runoff",0,"N",124
"241","Sense of place","Sense of place",0,"N",125
"251","Septics","Septics",0,"N",126
"261","Stratification","Stratification",0,"N",127
"271","Summer flows","Summer flows",0,"N",128
"281","Temperature","Temperature",0,"N",129
"291","Toxics","Toxics",0,"N",130
"301","Transportation corridors","Transportation corridors",0,"N",131
"311","Urban runoff","Urban runoff",0,"N",132
"321","Wastewater","Wastewater",0,"N",133
"331","Zooplankton","Zooplankton",0,"N",134
